topic #,seat_type,coal,ncoal,topic_id,top_words
22,sum,0.05699003338981205,0.0641387744309948,1145,"['entwicklungsland', 'international', 'global', 'china', 'nachhalt', 'entwickl', 'land', 'konferenz', 'kiotoprotokoll', 'wichtig']"
23,direct,0.0330747202173841,0.0521819318483328,1170,"['haushalt', 'milliard', 'jahr', 'bundeshaushalt', 'ausgab', 'bund', 'schuld', 'koalition', 'finanzpolit', 'eichel']"
23,list,0.0287811075271829,0.0479314227426495,1170,"['haushalt', 'milliard', 'jahr', 'bundeshaushalt', 'ausgab', 'bund', 'schuld', 'koalition', 'finanzpolit', 'eichel']"
23,sum,0.04531846763587495,0.0740223886668159,1170,"['haushalt', 'milliard', 'jahr', 'bundeshaushalt', 'ausgab', 'bund', 'schuld', 'koalition', 'finanzpolit', 'eichel']"
24,direct,0.0369674006931554,0.034382912640698,1143,"['erneuerbar', 'energi', 'eeg', 'ausbau', 'energiepolit', 'fossil', 'erneuerbareenergiengesetz', 'anteil', 'energiekonzept', 'energieversorg']"
24,list,0.0394795088151041,0.0420843466090694,1143,"['erneuerbar', 'energi', 'eeg', 'ausbau', 'energiepolit', 'fossil', 'erneuerbareenergiengesetz', 'anteil', 'energiekonzept', 'energieversorg']"
24,sum,0.057963209161681795,0.059275802929418406,1143,"['erneuerbar', 'energi', 'eeg', 'ausbau', 'energiepolit', 'fossil', 'erneuerbareenergiengesetz', 'anteil', 'energiekonzept', 'energieversorg']"
25,direct,0.0437749504090847,0.0465644299930973,1163,"['prozent', 'jahr', 'deutschland', 'anteil', 'ziel', 'erreich', 'tonn', 'pro', 'gas', 'zahl']"
25,list,0.0407166855745182,0.03806971653071,1163,"['prozent', 'jahr', 'deutschland', 'anteil', 'ziel', 'erreich', 'tonn', 'pro', 'gas', 'zahl']"
25,sum,0.06260416077906054,0.06135193152725865,1163,"['prozent', 'jahr', 'deutschland', 'anteil', 'ziel', 'erreich', 'tonn', 'pro', 'gas', 'zahl']"
26,direct,0.0364832307300796,0.058670405980112,1155,"['arbeitsplatz', 'unternehm', 'deutschland', 'mittelstand', 'wirtschaft', 'arbeitslos', 'mehr', 'neu', 'wachstum', 'betrieb']"
26,list,0.0376778310110723,0.0473648451259337,1155,"['arbeitsplatz', 'unternehm', 'deutschland', 'mittelstand', 'wirtschaft', 'arbeitslos', 'mehr', 'neu', 'wachstum', 'betrieb']"
26,sum,0.0559194463761121,0.0767000481159897,1155,"['arbeitsplatz', 'unternehm', 'deutschland', 'mittelstand', 'wirtschaft', 'arbeitslos', 'mehr', 'neu', 'wachstum', 'betrieb']"
27,direct,0.036088132956128,0.0529275510982327,1141,"['mensch', 'land', 'kind', 'mehr', 'sozial', 'gesellschaft', 'merkel', 'dafur', 'polit', 'frau']"
27,list,0.0449418202379534,0.0587262850422685,1141,"['mensch', 'land', 'kind', 'mehr', 'sozial', 'gesellschaft', 'merkel', 'dafur', 'polit', 'frau']"
27,sum,0.0629858867160174,0.08519006059138484,1141,"['mensch', 'land', 'kind', 'mehr', 'sozial', 'gesellschaft', 'merkel', 'dafur', 'polit', 'frau']"
28,direct,0.0534148481222164,0.0572856931716879,1150,"['herr', 'sag', 'gesagt', 'dam', 'herrn', 'minist', 'bundeskanzl', 'polit', 'red', 'schon']"
28,list,0.0575479854426287,0.0643016379935386,1150,"['herr', 'sag', 'gesagt', 'dam', 'herrn', 'minist', 'bundeskanzl', 'polit', 'red', 'schon']"
28,sum,0.0842554095037369,0.09294448457938254,1150,"['herr', 'sag', 'gesagt', 'dam', 'herrn', 'minist', 'bundeskanzl', 'polit', 'red', 'schon']"
29,direct,0.0854521823147927,0.0800694319975191,1146,"['sag', 'ganz', 'thema', 'glaub', 'frag', 'darub', 'gibt', 'punkt', 'bereich', 'gesagt']"
29,list,0.0643979210564273,0.0488722636259155,1146,"['sag', 'ganz', 'thema', 'glaub', 'frag', 'darub', 'gibt', 'punkt', 'bereich', 'gesagt']"
29,sum,0.10712401221382364,0.08890697962467506,1146,"['sag', 'ganz', 'thema', 'glaub', 'frag', 'darub', 'gibt', 'punkt', 'bereich', 'gesagt']"
