,name,handle,url,additional info
284,Bernd Riexinger,@b_riexinger,https://twitter.com/b_riexinger,Vorsitzender der Partei DIE LINKE Mitglied des Bundestages
285,Götz Frömming,@GtzFrmming,https://twitter.com/GtzFrmming,Bildungspolitischer Sprecher der @*AfDimBundestag*
286,Beatrix von Storch,@Beatrix_vStorch,https://twitter.com/Beatrix_vStorch,#*MdB* <https://twitter.com/hashtag/MdB?src=hash> 19. Deutscher
287,ulla ihnen,@uihnen,https://twitter.com/uihnen,
288,Matthias W. Birkwald,@MWBirkwald,https://twitter.com/MWBirkwald,"Mitglied des Deutschen Bundestages, rentenpolitischer Sprecher der"
289,Florian Post,@FlorianPost,https://twitter.com/FlorianPost,Bundestagsabgeordneter der SPD. Für München in Berlin.
290,Jana Schimke,@JanaSchimke,https://twitter.com/JanaSchimke,Mitglied des Deutschen Bundestages - CDU Brandenburg - Landkreis
291,Matthias Gastel,@MatthiasGastel,https://twitter.com/MatthiasGastel,"Bundestagsabgeordneter Bündnis 90/Die Grünen, Mitglied im Ausschuss"
292,Sonja Steffen,@SteffenSonja,https://twitter.com/SteffenSonja,"Bundestagsabgeordnete, Rechtsanwältin"
293,Katrin Göring-Eckardt,@GoeringEckardt,https://twitter.com/GoeringEckardt,Fraktionsvorsitzende von BÜNDNIS 90/DIE GRÜNEN im Bundestag | aus
294,Harald Weinberg,@HaraldWeinberg,https://twitter.com/HaraldWeinberg,MdB bei @*linksfraktion* <https://twitter.com/linksfraktion> I
295,Andrew Ullmann,@UllmannMdB,https://twitter.com/UllmannMdB,"Freiheitsfreund, MdB, Kreisvorsitzender FDP Würzburg, Mitglied"
296,Jutta Krellmann,@JuttaKrellmann,https://twitter.com/JuttaKrellmann,"MdB, Sprecherin für Arbeit und Mitbestimmung der @*linksfraktion*"
297,Canan Bayram,@LieblingXhain,https://twitter.com/LieblingXhain,Direkt gewählte Bundestagsabgeordnete im Wahlkreis #*WK83*
298,M. Grosse-Brömer,@MGrosseBroemer,https://twitter.com/MGrosseBroemer,"Mitglied des Bundestages (MP), 1. Parl. Geschäftsführer der"
299,Sigmar Gabriel,@sigmargabriel,https://twitter.com/sigmargabriel,"Abgeordneter für den Wahlkreis Wolfenbüttel, Salzgitter, Vorharz"
300,Maik Beermann,@MaikBeermann,https://twitter.com/MaikBeermann,CDU Bundestagsabgeordneter für die Landkreise Nienburg und
301,Lisa Paus,@lisapaus,https://twitter.com/lisapaus,"MdB, Berlinerin, Feministin, Mama, Finanzexpertin mit Fokus"
302,Manfred Todtenhausen,@MTodtenhausen,https://twitter.com/MTodtenhausen,FDP Bundestagsabgeordneter Elektromeister.
303,Petra Pau,@PetraPauMaHe,https://twitter.com/PetraPauMaHe,MdB #*LINKE* <https://twitter.com/hashtag/LINKE?src=hash>
304,Daniela Kolbe,@danielakolbe,https://twitter.com/danielakolbe,"Generalsekretärin der Sachsen-SPD, Mitglied des Bundestages aus"
305,Timon Gremmels,@Timon_Gremmels,https://twitter.com/Timon_Gremmels,"SPD-Vorsitzender im Landkreis Kassel, MdB für den Wahlkreis 168, Kassel"
306,Jürgen Trittin,@JTrittin,https://twitter.com/JTrittin,MdB Bündnis 90/Die Grünen & Wahlkreis Göttingen & Werder-Fan. Team
307,Dr. Edgar Franke,@FrankeEdgar,https://twitter.com/FrankeEdgar,Direkt gewählter MdB aus Nordhessen. Vorsitzender des
308,Margarete Bause,@MargareteBause,https://twitter.com/MargareteBause,"Bundestagsabgeordnete Bündnis 90/ Die Grünen, Sprecherin für"
309,Konstantin Kuhle,@KonstantinKuhle,https://twitter.com/KonstantinKuhle,Mitglied @*bundestag* <https://twitter.com/bundestag> für
310,Sylvia Kotting-Uhl,@BabettesChefin,https://twitter.com/BabettesChefin,Grüne MdB Vorsitzende Umweltausschuss Kämpft für: #*Klimaschutz*
311,Katja Leikert,@KLeikert,https://twitter.com/KLeikert,"Stellvertretende Vorsitzende der CDU/CSU-Bundestagsfraktion,"
312,Helge Lindh,@helgelindh,https://twitter.com/helgelindh,"Bundestagsabgeordneter für Wuppertal, #*SPD*"
313,Jens Zimmermann,@JensZimmermann1,https://twitter.com/JensZimmermann1,Bundestagsabgeordneter Wahlkreis 187 (Odenwald) - Digitalpolitischer
314,Peter Beyer,@Peter_Beyer,https://twitter.com/Peter_Beyer,"Bundestagsabgeordneter für Heiligenhaus, Ratingen, Velbert, Wülfrath"
